GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog.spi,ServiceProviderLocator,8,0,0,0,3,0,3,0,3,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,SyntaxError,23,0,0,0,4,0,2,0,2,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractTerm,489,0,95,0,104,0,88,0,32,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractCompounds,281,0,68,0,79,0,54,0,20,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProgram,491,0,40,0,99,0,50,0,30,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArityError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ListExpectedError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause.BodyIterator,37,0,4,0,7,0,5,0,3,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologCallable,23,0,0,0,7,0,3,0,3,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultClauseBuilder,199,0,0,0,55,0,15,0,15,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine,387,0,36,0,84,0,56,0,38,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,IndicatorError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConverter,593,0,70,0,116,0,54,0,19,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,FunctorError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,UnknownTermError,13,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIndicator,94,0,14,0,26,0,14,0,7,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIterator,7,0,0,0,2,0,2,0,2,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractOperator,161,0,30,0,41,0,23,0,8,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngineFactory,251,0,34,0,53,0,32,0,15,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractBuilder,171,0,26,0,42,0,21,0,8,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause,591,0,104,0,137,0,91,0,39,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,Prolog,83,0,0,0,23,0,3,0,3,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine.PrologProgramIterator,53,0,2,0,13,0,5,0,4,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractLogger,75,0,0,0,23,0,12,0,12,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologRunnable,38,0,0,0,12,0,4,0,4,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologError,17,0,0,0,4,0,2,0,2,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngine,189,0,12,0,40,0,16,0,10,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultPrologIndicator,5,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConsole,586,0,46,0,142,0,28,0,5,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractQuery,231,0,22,0,61,0,37,0,26,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,CompoundExpectedError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,StructureExpectedError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractJavaConverter,503,0,93,0,92,0,65,0,13,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultQueryBuilder,133,0,0,0,34,0,11,0,11,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologQueryIterator,28,0,2,0,9,0,5,0,4,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArrayIterator,42,0,4,0,9,0,5,0,3,0
prolobjectlink-jpi-jpl/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProvider,1312,0,28,0,206,0,52,0,38,0
